Task_Difficulty,Task_Type,Task_Duration,Member_Skill_Level,Member_Experience,Member_Workload,PerformanceScore
Easy,Development,44,2,16,31,8
Hard,Documentation,42,4,17,2,1
Hard,Development,39,3,5,72,4
Medium,Documentation,37,3,11,22,10
Hard,Documentation,8,4,1,81,6
Easy,Development,32,1,14,20,3
Medium,Documentation,53,4,1,25,8
Easy,Testing,66,5,18,39,9
Hard,Testing,11,4,19,26,8
Medium,Development,86,4,19,11,1
Hard,Documentation,64,4,4,47,9
Easy,Documentation,96,1,5,44,8
Easy,Documentation,12,5,18,21,1
Easy,Documentation,43,2,4,79,6
Hard,Development,33,4,6,28,5
Medium,Documentation,35,4,5,30,1
Hard,Testing,100,2,20,43,10
Easy,Development,37,1,20,71,9
Medium,Testing,91,3,16,40,3
Easy,Documentation,40,4,17,78,2
Easy,Testing,62,1,12,60,2
Hard,Documentation,62,3,8,4,1
Medium,Development,84,4,14,100,7
Hard,Documentation,71,3,1,79,10
Hard,Development,31,2,14,89,10
Hard,Development,58,4,8,70,5
Easy,Documentation,40,5,19,46,2
Medium,Testing,60,1,10,41,4
Medium,Testing,57,2,19,87,8
Medium,Testing,25,1,2,94,3
Medium,Development,23,5,13,10,10
Easy,Documentation,9,2,15,69,3
Hard,Development,64,5,17,20,8
Easy,Development,83,1,6,8,7
Easy,Development,95,2,1,18,2
Hard,Testing,72,1,14,64,9
Easy,Testing,37,1,11,33,9
Hard,Documentation,82,3,7,4,7
Medium,Testing,76,3,15,0,6
Hard,Testing,21,3,20,72,8
Medium,Development,17,1,17,55,8
Hard,Documentation,83,1,10,15,8
Easy,Documentation,78,3,19,60,3
Medium,Development,36,2,17,1,9
Medium,Development,32,5,5,21,4
Easy,Testing,49,3,7,73,1
Hard,Testing,94,2,7,23,9
Medium,Documentation,21,4,2,40,5
Medium,Testing,62,5,4,77,9
Medium,Testing,57,1,13,96,9
Easy,Documentation,64,2,19,0,4
Medium,Testing,88,5,10,35,5
Easy,Development,8,5,14,47,2
Medium,Development,91,1,3,6,10
Easy,Testing,77,1,10,32,2
Medium,Development,9,5,17,89,9
Medium,Documentation,58,1,11,53,5
Medium,Testing,98,3,7,35,1
Hard,Testing,66,4,11,44,2
Easy,Development,83,1,9,84,7
Medium,Documentation,68,3,4,90,2
Hard,Documentation,63,2,16,85,9
Easy,Documentation,75,1,8,63,4
Hard,Development,33,5,2,30,4
Medium,Documentation,44,4,9,1,10
Easy,Documentation,50,3,13,87,6
Easy,Development,78,5,8,27,5
Hard,Documentation,68,4,19,29,8
Easy,Development,24,1,3,96,1
Medium,Testing,99,4,5,81,5
Easy,Development,80,1,14,49,9
Hard,Testing,59,1,20,90,9
Easy,Development,29,5,14,82,9
Medium,Testing,91,3,1,33,1
Medium,Development,1,2,19,93,4
Hard,Testing,48,5,12,5,10
Easy,Testing,91,5,2,54,1
Hard,Development,17,4,3,80,5
Hard,Documentation,38,1,13,30,7
Medium,Development,28,1,4,28,2
Medium,Development,94,2,11,50,5
Easy,Testing,28,4,4,70,8
Hard,Development,21,1,5,39,8
Hard,Testing,60,3,12,11,6
Easy,Documentation,80,4,3,50,8
Hard,Development,27,1,13,85,6
Hard,Testing,96,3,8,64,1
Medium,Development,85,2,7,49,5
Medium,Testing,32,2,16,47,9
Easy,Documentation,38,3,8,82,8
Hard,Development,47,4,14,16,6
Easy,Testing,7,1,3,82,7
Medium,Testing,6,4,8,21,10
Easy,Testing,14,4,10,88,2
Medium,Development,75,1,16,83,7
Easy,Testing,6,2,11,75,3
Hard,Documentation,83,5,20,43,4
Medium,Testing,80,3,3,2,7
Hard,Development,18,1,5,35,8
Hard,Development,43,3,16,39,3
Hard,Testing,95,2,6,13,7
Easy,Testing,77,1,16,51,6
Medium,Documentation,87,2,5,53,10
Easy,Testing,78,2,17,15,4
Hard,Documentation,65,5,20,7,5
Easy,Development,85,3,3,83,3
Easy,Testing,50,3,19,100,8
Hard,Testing,97,4,7,29,7
Medium,Development,47,4,1,1,4
Easy,Testing,13,1,1,23,10
Easy,Testing,56,3,12,88,1
Easy,Testing,21,2,16,84,9
Medium,Testing,17,2,18,0,4
Medium,Testing,37,5,16,48,10
Hard,Development,99,3,18,5,10
Easy,Testing,36,2,5,41,2
Medium,Development,16,1,11,2,3
Easy,Development,93,2,2,96,3
Medium,Development,85,3,19,69,3
Medium,Development,5,3,9,86,9
Medium,Testing,94,3,16,9,1
Hard,Documentation,43,2,2,90,4
Hard,Development,31,4,6,97,6
Hard,Documentation,51,2,19,27,1
Medium,Development,45,2,3,50,9
Hard,Documentation,38,4,18,37,5
Medium,Testing,92,1,17,98,2
Easy,Documentation,85,4,8,43,9
Easy,Documentation,71,5,6,63,6
Medium,Testing,62,2,1,96,6
Medium,Documentation,39,3,13,70,6
Easy,Documentation,46,3,16,20,4
Easy,Testing,5,3,19,93,9
Medium,Documentation,51,1,8,70,9
Medium,Testing,21,3,18,75,3
Hard,Documentation,78,1,6,70,3
Medium,Development,39,2,11,18,2
Easy,Testing,45,1,12,19,1
Easy,Development,52,4,9,92,6
Hard,Testing,85,2,20,61,10
Hard,Documentation,76,1,18,99,7
Medium,Testing,52,2,1,44,6
Medium,Documentation,6,1,20,0,7
Hard,Documentation,59,1,8,82,6
Easy,Testing,41,4,11,18,4
Hard,Development,39,5,10,36,9
Easy,Development,67,1,5,56,8
Easy,Development,17,3,5,20,10
Hard,Development,86,1,3,57,4
Medium,Development,77,2,6,12,3
Easy,Development,16,1,5,39,8
Medium,Testing,96,3,10,15,6
Medium,Development,84,1,3,60,9
Hard,Testing,59,3,3,39,5
Easy,Development,66,2,5,16,7
Easy,Testing,35,1,14,8,8
Medium,Testing,91,2,11,80,4
Medium,Testing,23,4,17,41,9
Easy,Documentation,55,2,10,99,6
Easy,Testing,89,5,12,15,7
Medium,Development,69,2,9,15,7
Hard,Documentation,65,2,20,11,3
Medium,Testing,36,1,16,43,2
Easy,Testing,35,4,10,54,2
Medium,Documentation,26,5,13,88,8
Medium,Development,87,2,4,72,3
Hard,Testing,78,5,16,62,3
Easy,Development,66,4,19,15,3
Medium,Development,39,5,17,32,2
Hard,Testing,58,5,6,26,9
Easy,Testing,95,4,5,76,5
Easy,Testing,39,5,1,70,3
Hard,Testing,81,3,14,11,4
Hard,Documentation,44,3,6,18,5
Medium,Development,33,2,11,68,2
Medium,Development,93,1,2,84,4
Medium,Testing,75,1,19,96,10
Hard,Testing,40,1,3,95,10
Medium,Development,65,2,13,62,10
Easy,Testing,82,3,14,56,7
Hard,Development,98,2,8,76,3
Easy,Documentation,15,4,20,58,3
Easy,Testing,56,2,17,87,10
Medium,Documentation,97,4,12,52,6
Medium,Development,60,4,1,85,9
Medium,Documentation,8,2,7,37,4
Easy,Testing,33,1,7,1,1
Medium,Development,70,5,6,88,7
Easy,Documentation,66,5,6,100,10
Hard,Testing,52,1,14,27,7
Easy,Development,33,3,6,39,6
Medium,Documentation,56,2,9,14,9
Easy,Documentation,80,5,6,59,2
Medium,Documentation,32,1,9,17,9
Hard,Development,54,5,11,66,5
Easy,Development,23,5,1,1,2
Hard,Documentation,21,2,10,24,4
Hard,Testing,23,1,3,2,9
Hard,Testing,50,2,14,87,4
Easy,Testing,2,1,2,75,1
Medium,Documentation,76,3,12,51,7
Easy,Documentation,17,1,2,28,10
Medium,Testing,78,1,3,96,6
Hard,Testing,49,3,4,88,4
Medium,Documentation,53,2,12,93,2
Easy,Documentation,20,5,19,6,7
Hard,Development,3,1,10,44,7
Medium,Development,18,3,19,47,8
Hard,Development,82,1,19,13,10
Hard,Documentation,39,4,2,11,5
Easy,Documentation,89,5,12,66,7
Hard,Documentation,13,2,1,25,9
Hard,Documentation,24,5,3,16,6
Easy,Development,49,5,8,87,8
Hard,Testing,89,5,10,1,3
Hard,Development,88,5,3,68,4
Hard,Documentation,86,3,11,0,6
Easy,Testing,83,5,16,74,6
Medium,Documentation,47,4,6,19,9
Medium,Testing,97,2,3,38,2
Hard,Documentation,16,5,13,1,1
Hard,Documentation,3,3,20,45,1
Easy,Testing,85,3,18,56,4
Hard,Testing,88,3,4,45,9
Hard,Development,60,5,7,4,6
Hard,Documentation,51,1,6,47,4
Medium,Development,11,5,5,26,9
