Task_Difficulty,Task_Type,Task_Duration,Member_Skill_Level,Member_Experience,Member_Workload
Medium,Testing,89,1,5,68
Medium,Development,68,2,14,60
Hard,Development,96,3,14,34
Medium,Documentation,9,4,17,19
Hard,Documentation,31,4,17,16
Hard,Documentation,46,5,14,33
Medium,Development,37,2,10,37
Easy,Development,59,5,12,80
Easy,Documentation,20,4,13,13
Hard,Development,22,5,13,58
Medium,Testing,6,1,6,58
Easy,Development,43,1,20,62
Medium,Testing,1,4,8,20
Medium,Documentation,67,4,20,11
Medium,Development,20,3,8,7
Hard,Documentation,98,2,2,59
Medium,Documentation,48,1,20,64
Medium,Development,41,2,8,38
Medium,Development,46,1,4,71
Easy,Testing,90,5,8,90
Medium,Development,52,2,6,86
Medium,Testing,94,3,6,87
Medium,Documentation,24,5,1,44
Medium,Testing,75,1,7,21
Easy,Testing,89,5,5,78
Medium,Documentation,25,5,1,90
Easy,Testing,23,3,2,33
Hard,Documentation,46,4,15,72
Hard,Documentation,25,5,14,47
Hard,Development,42,5,5,71
Easy,Documentation,6,4,15,62
Hard,Testing,47,1,19,81
Hard,Development,31,3,1,74
Hard,Testing,77,5,16,99
Hard,Documentation,89,5,13,96
Medium,Development,32,1,18,42
Medium,Development,96,2,15,72
Easy,Documentation,18,2,18,76
Hard,Documentation,76,2,16,42
Easy,Documentation,97,3,8,4
Easy,Documentation,57,2,12,32
Easy,Testing,83,1,2,22
Hard,Documentation,78,4,3,100
Easy,Documentation,57,1,17,15
Hard,Documentation,1,4,20,97
Medium,Testing,74,3,18,58
Hard,Testing,69,3,20,28
Hard,Documentation,85,1,13,48
Hard,Development,52,2,15,93
Hard,Development,84,4,4,79
Hard,Testing,37,1,6,40
Easy,Testing,66,3,13,73
Medium,Testing,96,4,15,67
Hard,Testing,99,3,2,35
Easy,Testing,53,5,14,14
Hard,Testing,16,4,16,76
Hard,Testing,40,4,9,20
Hard,Documentation,62,2,1,55
Hard,Development,69,4,5,21
Hard,Documentation,31,4,17,26
Easy,Testing,38,1,9,91
Easy,Testing,81,1,14,47
Medium,Testing,27,4,6,62
Medium,Testing,50,1,19,20
Easy,Documentation,90,3,9,96
Easy,Development,41,4,8,57
Hard,Testing,45,4,11,4
Hard,Testing,89,3,9,92
Hard,Development,34,1,14,52
Hard,Testing,76,1,15,53
Hard,Development,2,2,7,68
Easy,Testing,11,2,12,40
Hard,Development,24,3,7,64
Hard,Documentation,71,2,19,7
Medium,Documentation,33,5,12,11
Easy,Development,13,3,15,89
Medium,Documentation,23,3,2,5
Hard,Testing,68,5,7,100
Hard,Testing,43,5,10,85
Medium,Development,17,1,8,2
Medium,Testing,55,4,12,25
Medium,Development,98,2,6,1
Medium,Documentation,92,3,19,3
Medium,Documentation,64,3,5,63
Hard,Development,93,3,20,16
Medium,Documentation,92,2,19,91
Medium,Development,85,4,20,17
Easy,Documentation,30,3,13,38
Medium,Testing,49,2,7,59
Medium,Documentation,44,2,7,25
Hard,Development,59,4,16,65
Hard,Documentation,56,4,6,13
Hard,Testing,45,3,4,91
Medium,Documentation,50,4,18,90
Hard,Development,86,3,18,27
Easy,Testing,7,1,13,91
Hard,Testing,60,5,20,39
Easy,Testing,6,1,9,4
Medium,Testing,30,3,12,46
Hard,Development,97,4,4,35
Hard,Documentation,39,1,20,23
Easy,Testing,46,5,9,31
Easy,Documentation,51,1,14,19
Easy,Testing,100,1,17,18
Hard,Development,7,5,15,79
Hard,Testing,13,4,16,1
Medium,Testing,59,3,14,66
Easy,Documentation,53,5,1,35
Easy,Documentation,54,1,18,96
Hard,Documentation,76,4,17,83
Easy,Development,97,1,14,2
Easy,Documentation,67,4,4,96
Easy,Testing,55,2,17,45
Hard,Testing,41,3,16,8
Medium,Documentation,22,5,14,69
Hard,Testing,75,4,11,99
Hard,Development,90,3,7,75
Medium,Development,55,1,19,31
Hard,Development,90,2,20,1
Medium,Testing,54,3,17,77
Hard,Documentation,82,5,19,30
Hard,Documentation,49,2,2,5
Easy,Testing,74,4,6,20
Easy,Testing,77,4,11,28
Easy,Development,45,5,9,37
Hard,Documentation,32,5,3,43
Medium,Documentation,73,2,15,9
Easy,Development,58,3,8,71
Hard,Testing,85,1,1,95
Medium,Development,81,1,1,56
Hard,Development,2,1,19,35
Medium,Documentation,53,4,5,34
Medium,Testing,20,5,12,54
Easy,Development,43,5,5,86
Easy,Testing,34,5,12,15
Hard,Testing,4,3,2,94
Medium,Development,4,1,13,8
Medium,Documentation,53,4,20,53
Easy,Documentation,57,3,16,91
Hard,Development,98,4,11,62
Easy,Development,38,1,20,7
Medium,Development,41,3,20,88
Easy,Development,35,3,4,6
Hard,Testing,86,5,1,35
Hard,Testing,43,5,6,20
Hard,Development,17,2,4,71
Easy,Development,81,4,18,31
Medium,Development,7,2,17,35
Medium,Testing,50,1,4,60
Hard,Testing,66,3,10,1
Easy,Development,77,4,15,49
Easy,Documentation,49,3,15,83
Easy,Testing,73,1,9,39
Medium,Development,30,5,17,75
Hard,Documentation,51,3,18,89
Medium,Testing,62,5,7,21
Hard,Documentation,66,2,20,32
Medium,Documentation,17,1,17,67
Medium,Documentation,100,1,2,31
Hard,Documentation,57,2,16,32
Hard,Development,91,1,2,59
Hard,Documentation,63,1,11,98
Medium,Testing,96,4,5,85
Medium,Development,55,4,10,90
Easy,Documentation,1,3,5,78
Easy,Testing,92,1,12,32
Hard,Development,2,5,9,35
Hard,Documentation,41,2,2,67
Easy,Testing,82,2,19,95
Hard,Development,67,1,4,93
Medium,Development,10,2,4,85
Easy,Development,63,2,8,79
Hard,Documentation,68,5,7,74
Medium,Development,79,3,16,75
Hard,Development,83,5,6,54
Easy,Testing,36,4,12,74
Medium,Documentation,13,5,11,31
Easy,Development,84,5,8,16
Hard,Documentation,86,1,7,30
Hard,Documentation,49,5,20,57
Hard,Documentation,9,2,17,50
Hard,Documentation,29,3,3,91
Easy,Documentation,27,2,11,94
Easy,Development,80,2,19,18
Hard,Documentation,99,2,9,42
Hard,Development,92,5,13,51
Hard,Development,94,1,8,26
Easy,Testing,43,3,18,97
Easy,Development,20,3,11,92
Hard,Documentation,26,3,5,6
Hard,Documentation,90,1,8,44
Medium,Development,56,1,5,87
Easy,Documentation,22,2,16,67
Easy,Development,19,3,9,51
Hard,Documentation,8,3,5,0
Medium,Development,48,4,5,82
Hard,Development,75,1,11,23
Medium,Testing,19,3,11,68
Hard,Development,69,4,7,28
Hard,Development,76,5,8,40
Hard,Testing,60,2,10,76
Medium,Development,94,1,14,66
Easy,Development,68,2,2,52
Medium,Documentation,74,4,16,18
Hard,Documentation,94,3,3,22
Medium,Documentation,72,4,2,81
Hard,Documentation,91,1,11,92
Medium,Testing,17,3,14,40
Hard,Development,47,1,13,71
Medium,Testing,52,5,5,64
Hard,Development,25,2,14,69
Medium,Testing,62,4,1,2
Medium,Testing,6,2,5,77
Medium,Testing,16,3,4,94
Hard,Testing,79,1,14,1
Hard,Testing,21,1,13,82
Hard,Documentation,63,2,14,43
Medium,Testing,67,1,8,56
Hard,Testing,13,3,2,22
Medium,Testing,75,1,20,27
Medium,Testing,43,2,5,95
Easy,Documentation,79,1,17,30
Hard,Development,30,1,13,56
Easy,Development,71,3,10,38
Easy,Documentation,93,1,19,80
Hard,Testing,34,4,15,86
Easy,Testing,25,4,1,49
Hard,Documentation,44,4,7,93
Medium,Development,59,1,4,37
Easy,Development,72,5,13,87
Easy,Testing,35,3,12,66
Medium,Development,76,3,19,32
Easy,Development,96,4,7,72
Hard,Testing,64,4,13,68
Easy,Testing,28,3,8,72
Hard,Testing,75,1,6,9
Easy,Testing,39,1,18,28
Medium,Documentation,77,4,2,76
Hard,Development,74,2,19,63
Medium,Testing,82,1,7,84
Medium,Testing,4,4,9,85
Easy,Development,57,3,11,4
Hard,Testing,27,5,10,48
Easy,Documentation,83,5,19,11
Hard,Documentation,5,1,6,9
Hard,Development,96,5,3,26
Easy,Development,50,3,5,35
Medium,Development,98,1,19,56
Hard,Testing,74,1,2,26
Easy,Development,22,4,20,51
Hard,Testing,31,4,5,29
Easy,Development,50,4,18,71
Easy,Development,29,1,20,59
Medium,Testing,78,3,1,26
Hard,Testing,69,1,18,52
Hard,Testing,93,5,4,10
Medium,Documentation,8,4,8,19
Hard,Documentation,66,2,7,69
Hard,Documentation,76,3,10,24
Easy,Testing,50,4,5,90
Medium,Testing,95,5,6,75
Hard,Testing,63,4,16,45
Easy,Documentation,88,2,12,82
Medium,Documentation,8,3,7,76
Medium,Documentation,1,5,4,11
Hard,Testing,78,2,20,25
Easy,Testing,27,5,7,44
Easy,Documentation,93,2,3,15
Easy,Development,31,2,4,82
Easy,Development,30,3,4,73
Hard,Testing,92,5,7,85
Easy,Testing,39,1,9,65
Hard,Development,8,5,12,40
Easy,Documentation,76,2,11,18
Medium,Documentation,41,2,1,91
Easy,Documentation,76,5,13,91
Hard,Development,88,4,7,94
Medium,Documentation,49,2,8,47
Medium,Development,43,1,3,27
Hard,Documentation,92,2,9,75
Hard,Development,3,2,3,86
Medium,Development,24,1,20,4
Medium,Documentation,41,3,11,9
Hard,Development,18,2,1,49
Medium,Testing,10,3,5,37
Medium,Testing,2,2,13,52
Medium,Testing,67,1,12,42
Hard,Testing,92,4,17,52
Hard,Documentation,43,2,2,88
Medium,Testing,98,1,16,98
Hard,Development,3,3,12,59
Hard,Documentation,69,3,8,9
Medium,Documentation,68,2,13,77
Hard,Testing,92,3,19,98
Hard,Documentation,14,3,8,29
Medium,Development,78,5,4,66
Hard,Testing,55,2,17,27
Hard,Development,91,5,4,89
Easy,Testing,57,3,4,69
Medium,Development,89,2,1,28
Easy,Documentation,15,1,14,37
Hard,Documentation,61,1,15,47
Easy,Documentation,24,4,3,40
Easy,Development,48,3,9,81
Medium,Documentation,48,1,12,96
Hard,Development,5,5,18,38
Medium,Development,71,4,15,42
Hard,Development,13,1,4,51
Medium,Development,24,1,19,66
Medium,Development,13,5,3,88
Hard,Development,26,2,19,23
Medium,Testing,91,1,16,45
Hard,Documentation,89,4,20,56
Hard,Testing,85,1,11,70
Medium,Development,97,5,6,42
Hard,Documentation,40,3,12,37
Easy,Development,70,1,17,7
Medium,Development,90,4,15,43
Medium,Development,17,5,13,35
Easy,Documentation,64,2,9,100
Medium,Documentation,47,4,11,41
Easy,Testing,49,1,9,8
Easy,Testing,1,5,9,99
Medium,Documentation,64,5,5,30
Medium,Documentation,46,1,11,28
Medium,Documentation,23,2,6,31
Medium,Development,25,4,7,44
Hard,Documentation,62,2,4,57
Easy,Testing,95,5,4,65
Hard,Development,33,3,15,31
Easy,Documentation,54,2,2,21
Medium,Documentation,50,2,16,68
Medium,Testing,39,4,8,92
Easy,Development,66,5,2,79
Medium,Documentation,25,5,9,65
Medium,Documentation,43,4,3,64
Hard,Documentation,76,3,14,90
Easy,Development,45,3,10,45
Hard,Documentation,30,4,3,73
Hard,Testing,12,1,18,77
Medium,Documentation,52,5,12,9
Hard,Testing,26,2,5,29
Easy,Documentation,68,4,12,69
Hard,Documentation,13,2,1,87
Hard,Testing,62,3,14,55
Hard,Development,88,4,4,63
Medium,Testing,66,3,4,81
Easy,Testing,21,1,13,97
Easy,Testing,28,4,12,63
Easy,Documentation,55,2,19,93
Hard,Testing,30,4,6,95
Hard,Documentation,7,3,20,47
Easy,Development,53,2,17,10
Medium,Testing,46,1,6,61
Hard,Documentation,1,2,12,4
Easy,Testing,43,2,7,85
Medium,Testing,77,3,8,57
Easy,Testing,53,5,10,17
Hard,Development,25,4,12,28
Hard,Development,72,4,2,37
Easy,Testing,70,3,15,30
Hard,Testing,34,1,15,100
Hard,Testing,87,2,14,81
Hard,Testing,38,1,2,13
Easy,Testing,75,2,6,15
Hard,Testing,66,4,7,7
Hard,Documentation,56,3,7,3
Medium,Testing,2,4,1,100
Medium,Development,27,2,19,1
Hard,Documentation,4,2,20,25
Medium,Development,19,5,14,84
Medium,Development,15,1,9,19
Medium,Testing,55,5,9,39
Easy,Testing,100,3,12,90
Medium,Development,4,2,1,95
Easy,Development,70,2,9,2
Easy,Documentation,49,5,4,27
Easy,Development,51,2,13,72
Medium,Testing,62,3,12,69
Hard,Testing,81,4,16,24
Medium,Documentation,10,2,13,91
Medium,Development,6,3,8,31
Medium,Testing,33,5,19,85
Hard,Development,34,2,11,5
Easy,Documentation,44,5,6,63
Hard,Documentation,16,5,7,89
Hard,Documentation,53,5,14,36
Medium,Development,75,3,2,68
Medium,Development,17,1,12,88
Medium,Documentation,76,4,13,87
Hard,Documentation,35,3,19,3
Hard,Testing,59,3,13,94
Easy,Testing,20,1,9,94
Easy,Testing,19,4,14,57
Easy,Development,3,2,18,26
Medium,Development,100,5,13,47
Hard,Development,9,3,2,42
Hard,Documentation,2,2,10,42
Medium,Development,54,2,4,45
Hard,Development,29,1,7,55
Medium,Testing,81,1,5,81
Hard,Development,15,3,17,86
Medium,Testing,19,2,9,33
Easy,Documentation,71,4,12,68
Medium,Testing,67,3,5,41
Medium,Testing,81,5,13,22
Hard,Development,1,4,7,95
Easy,Documentation,69,1,1,12
Hard,Documentation,53,4,15,41
Medium,Testing,43,5,15,49
Medium,Development,85,4,15,14
Hard,Development,99,1,1,23
Medium,Documentation,10,5,15,30
Easy,Documentation,78,3,18,54
Medium,Development,22,3,20,37
Hard,Development,71,1,15,86
Easy,Documentation,33,2,6,10
Easy,Testing,66,4,4,0
Easy,Testing,31,1,19,95
Medium,Development,53,1,13,2
Medium,Documentation,61,4,20,55
Medium,Development,40,2,7,35
Medium,Documentation,62,1,15,83
Medium,Documentation,80,2,6,60
Medium,Testing,43,3,6,74
Medium,Development,64,1,13,79
Medium,Documentation,32,1,20,29
Easy,Documentation,100,3,4,63
Medium,Development,48,2,19,43
Hard,Documentation,100,4,3,35
Easy,Testing,80,1,4,21
Hard,Documentation,23,2,10,47
Hard,Documentation,32,3,19,46
Easy,Testing,67,4,14,86
Hard,Testing,44,1,13,36
Easy,Testing,65,5,18,17
Easy,Documentation,60,1,2,51
Easy,Testing,11,5,7,38
Easy,Development,44,2,16,31
Hard,Documentation,42,4,17,2
Hard,Development,39,3,5,72
Medium,Documentation,37,3,11,22
Hard,Documentation,8,4,1,81
Easy,Development,32,1,14,20
Medium,Documentation,53,4,1,25
Easy,Testing,66,5,18,39
Hard,Testing,11,4,19,26
Medium,Development,86,4,19,11
Hard,Documentation,64,4,4,47
Easy,Documentation,96,1,5,44
Easy,Documentation,12,5,18,21
Easy,Documentation,43,2,4,79
Hard,Development,33,4,6,28
Medium,Documentation,35,4,5,30
Hard,Testing,100,2,20,43
Easy,Development,37,1,20,71
Medium,Testing,91,3,16,40
Easy,Documentation,40,4,17,78
Easy,Testing,62,1,12,60
Hard,Documentation,62,3,8,4
Medium,Development,84,4,14,100
Hard,Documentation,71,3,1,79
Hard,Development,31,2,14,89
Hard,Development,58,4,8,70
Easy,Documentation,40,5,19,46
Medium,Testing,60,1,10,41
Medium,Testing,57,2,19,87
Medium,Testing,25,1,2,94
Medium,Development,23,5,13,10
Easy,Documentation,9,2,15,69
Hard,Development,64,5,17,20
Easy,Development,83,1,6,8
Easy,Development,95,2,1,18
Hard,Testing,72,1,14,64
Easy,Testing,37,1,11,33
Hard,Documentation,82,3,7,4
Medium,Testing,76,3,15,0
Hard,Testing,21,3,20,72
Medium,Development,17,1,17,55
Hard,Documentation,83,1,10,15
Easy,Documentation,78,3,19,60
Medium,Development,36,2,17,1
Medium,Development,32,5,5,21
Easy,Testing,49,3,7,73
Hard,Testing,94,2,7,23
Medium,Documentation,21,4,2,40
Medium,Testing,62,5,4,77
Medium,Testing,57,1,13,96
Easy,Documentation,64,2,19,0
Medium,Testing,88,5,10,35
Easy,Development,8,5,14,47
Medium,Development,91,1,3,6
Easy,Testing,77,1,10,32
Medium,Development,9,5,17,89
Medium,Documentation,58,1,11,53
Medium,Testing,98,3,7,35
Hard,Testing,66,4,11,44
Easy,Development,83,1,9,84
Medium,Documentation,68,3,4,90
Hard,Documentation,63,2,16,85
Easy,Documentation,75,1,8,63
Hard,Development,33,5,2,30
Medium,Documentation,44,4,9,1
Easy,Documentation,50,3,13,87
Easy,Development,78,5,8,27
Hard,Documentation,68,4,19,29
Easy,Development,24,1,3,96
Medium,Testing,99,4,5,81
Easy,Development,80,1,14,49
Hard,Testing,59,1,20,90
Easy,Development,29,5,14,82
Medium,Testing,91,3,1,33
Medium,Development,1,2,19,93
Hard,Testing,48,5,12,5
Easy,Testing,91,5,2,54
Hard,Development,17,4,3,80
Hard,Documentation,38,1,13,30
Medium,Development,28,1,4,28
Medium,Development,94,2,11,50
Easy,Testing,28,4,4,70
Hard,Development,21,1,5,39
Hard,Testing,60,3,12,11
Easy,Documentation,80,4,3,50
Hard,Development,27,1,13,85
Hard,Testing,96,3,8,64
Medium,Development,85,2,7,49
Medium,Testing,32,2,16,47
Easy,Documentation,38,3,8,82
Hard,Development,47,4,14,16
Easy,Testing,7,1,3,82
Medium,Testing,6,4,8,21
Easy,Testing,14,4,10,88
Medium,Development,75,1,16,83
Easy,Testing,6,2,11,75
Hard,Documentation,83,5,20,43
Medium,Testing,80,3,3,2
Hard,Development,18,1,5,35
Hard,Development,43,3,16,39
Hard,Testing,95,2,6,13
Easy,Testing,77,1,16,51
Medium,Documentation,87,2,5,53
Easy,Testing,78,2,17,15
Hard,Documentation,65,5,20,7
Easy,Development,85,3,3,83
Easy,Testing,50,3,19,100
Hard,Testing,97,4,7,29
Medium,Development,47,4,1,1
Easy,Testing,13,1,1,23
Easy,Testing,56,3,12,88
Easy,Testing,21,2,16,84
Medium,Testing,17,2,18,0
Medium,Testing,37,5,16,48
Hard,Development,99,3,18,5
Easy,Testing,36,2,5,41
Medium,Development,16,1,11,2
Easy,Development,93,2,2,96
Medium,Development,85,3,19,69
Medium,Development,5,3,9,86
Medium,Testing,94,3,16,9
Hard,Documentation,43,2,2,90
Hard,Development,31,4,6,97
Hard,Documentation,51,2,19,27
Medium,Development,45,2,3,50
Hard,Documentation,38,4,18,37
Medium,Testing,92,1,17,98
Easy,Documentation,85,4,8,43
Easy,Documentation,71,5,6,63
Medium,Testing,62,2,1,96
Medium,Documentation,39,3,13,70
Easy,Documentation,46,3,16,20
Easy,Testing,5,3,19,93
Medium,Documentation,51,1,8,70
Medium,Testing,21,3,18,75
Hard,Documentation,78,1,6,70
Medium,Development,39,2,11,18
Easy,Testing,45,1,12,19
Easy,Development,52,4,9,92
Hard,Testing,85,2,20,61
Hard,Documentation,76,1,18,99
Medium,Testing,52,2,1,44
Medium,Documentation,6,1,20,0
Hard,Documentation,59,1,8,82
Easy,Testing,41,4,11,18
Hard,Development,39,5,10,36
Easy,Development,67,1,5,56
Easy,Development,17,3,5,20
Hard,Development,86,1,3,57
Medium,Development,77,2,6,12
Easy,Development,16,1,5,39
Medium,Testing,96,3,10,15
Medium,Development,84,1,3,60
Hard,Testing,59,3,3,39
Easy,Development,66,2,5,16
Easy,Testing,35,1,14,8
Medium,Testing,91,2,11,80
Medium,Testing,23,4,17,41
Easy,Documentation,55,2,10,99
Easy,Testing,89,5,12,15
Medium,Development,69,2,9,15
Hard,Documentation,65,2,20,11
Medium,Testing,36,1,16,43
Easy,Testing,35,4,10,54
Medium,Documentation,26,5,13,88
Medium,Development,87,2,4,72
Hard,Testing,78,5,16,62
Easy,Development,66,4,19,15
Medium,Development,39,5,17,32
Hard,Testing,58,5,6,26
Easy,Testing,95,4,5,76
Easy,Testing,39,5,1,70
Hard,Testing,81,3,14,11
Hard,Documentation,44,3,6,18
Medium,Development,33,2,11,68
Medium,Development,93,1,2,84
Medium,Testing,75,1,19,96
Hard,Testing,40,1,3,95
Medium,Development,65,2,13,62
Easy,Testing,82,3,14,56
Hard,Development,98,2,8,76
Easy,Documentation,15,4,20,58
Easy,Testing,56,2,17,87
Medium,Documentation,97,4,12,52
Medium,Development,60,4,1,85
Medium,Documentation,8,2,7,37
Easy,Testing,33,1,7,1
Medium,Development,70,5,6,88
Easy,Documentation,66,5,6,100
Hard,Testing,52,1,14,27
Easy,Development,33,3,6,39
Medium,Documentation,56,2,9,14
Easy,Documentation,80,5,6,59
Medium,Documentation,32,1,9,17
Hard,Development,54,5,11,66
Easy,Development,23,5,1,1
Hard,Documentation,21,2,10,24
Hard,Testing,23,1,3,2
Hard,Testing,50,2,14,87
Easy,Testing,2,1,2,75
Medium,Documentation,76,3,12,51
Easy,Documentation,17,1,2,28
Medium,Testing,78,1,3,96
Hard,Testing,49,3,4,88
Medium,Documentation,53,2,12,93
Easy,Documentation,20,5,19,6
Hard,Development,3,1,10,44
Medium,Development,18,3,19,47
Hard,Development,82,1,19,13
Hard,Documentation,39,4,2,11
Easy,Documentation,89,5,12,66
Hard,Documentation,13,2,1,25
Hard,Documentation,24,5,3,16
Easy,Development,49,5,8,87
Hard,Testing,89,5,10,1
Hard,Development,88,5,3,68
Hard,Documentation,86,3,11,0
Easy,Testing,83,5,16,74
Medium,Documentation,47,4,6,19
Medium,Testing,97,2,3,38
Hard,Documentation,16,5,13,1
Hard,Documentation,3,3,20,45
Easy,Testing,85,3,18,56
Hard,Testing,88,3,4,45
Hard,Development,60,5,7,4
Hard,Documentation,51,1,6,47
Medium,Development,11,5,5,26
Medium,Testing,40,5,12,40
Medium,Testing,28,4,10,99
Easy,Testing,72,3,8,61
Easy,Testing,83,4,17,75
Hard,Development,96,5,1,18
Medium,Documentation,13,5,17,63
Medium,Testing,46,3,8,37
Hard,Development,15,2,11,78
Easy,Documentation,16,5,3,46
Easy,Documentation,48,1,2,78
Medium,Documentation,16,3,20,20
Hard,Testing,65,3,1,22
Easy,Testing,20,3,16,59
Hard,Development,31,5,9,27
Easy,Testing,25,4,8,22
Easy,Documentation,66,1,12,47
Easy,Development,83,4,10,52
Easy,Testing,25,2,18,50
Easy,Development,1,4,7,53
Hard,Development,41,3,11,96
Medium,Testing,5,5,18,22
Hard,Development,87,2,9,73
Medium,Testing,62,5,15,33
Easy,Testing,38,4,12,60
Easy,Testing,47,1,3,96
Medium,Testing,53,1,16,28
Hard,Documentation,67,2,6,98
Medium,Documentation,2,2,15,68
Hard,Development,14,3,13,13
Easy,Documentation,83,2,2,58
Medium,Documentation,75,3,3,92
Hard,Documentation,74,2,18,22
Hard,Development,86,4,1,55
Hard,Testing,50,1,13,16
Hard,Testing,80,4,1,88
Hard,Development,44,5,14,100
Medium,Testing,38,1,2,5
Hard,Testing,73,3,3,71
Hard,Testing,75,2,12,14
Easy,Testing,56,4,17,81
Hard,Documentation,71,5,4,52
Easy,Development,68,3,7,55
Hard,Testing,79,3,17,33
Easy,Documentation,52,4,1,90
Hard,Testing,56,2,17,87
Hard,Testing,50,2,19,7
Medium,Documentation,31,1,16,97
Hard,Development,38,5,18,82
Medium,Documentation,56,3,18,33
Easy,Documentation,80,3,11,78
Medium,Development,37,5,17,41
Easy,Documentation,29,5,6,1
Easy,Development,66,2,18,17
Medium,Development,27,3,14,29
Hard,Testing,57,5,15,41
Easy,Testing,84,1,5,24
Easy,Documentation,42,5,1,32
Medium,Development,4,4,6,64
Easy,Testing,37,2,18,31
Medium,Documentation,96,1,1,3
Medium,Documentation,15,4,11,66
Hard,Documentation,4,4,1,45
Easy,Documentation,98,4,8,19
Easy,Documentation,12,5,19,69
Hard,Testing,19,2,3,39
Hard,Documentation,86,4,16,15
Easy,Testing,63,1,7,11
Easy,Testing,39,3,10,91
Medium,Documentation,58,4,9,96
Medium,Development,14,4,16,32
Easy,Testing,91,2,14,90
Hard,Development,73,5,12,72
Easy,Development,55,5,8,29
Medium,Development,22,5,13,7
Easy,Documentation,14,4,8,96
Medium,Testing,3,4,15,84
Hard,Documentation,49,2,2,69
Easy,Development,40,1,20,65
Medium,Documentation,61,2,2,10
Hard,Development,100,3,13,37
Hard,Testing,30,1,6,90
Hard,Testing,3,3,12,71
Hard,Documentation,84,3,1,14
Hard,Development,83,5,9,86
Medium,Development,19,3,18,57
Medium,Development,24,3,16,70
Medium,Documentation,9,4,9,15
Hard,Documentation,54,1,4,53
Medium,Testing,26,2,9,68
Medium,Development,61,1,12,49
Easy,Testing,67,5,4,16
Easy,Development,18,5,2,87
Hard,Testing,61,4,15,55
Easy,Testing,19,3,17,88
Medium,Development,69,2,4,24
Hard,Testing,3,1,13,90
Easy,Testing,84,4,10,97
